id,s,t,h,r1,r2
465,816,645,11575,0.93249,0.93249
466,294,463,4985,0.41039,0.41039
467,550,134,3507,0.39685,0.39685
468,78,967,4799,0.75769,0.75769
469,230,523,18017,0.18495,0.18495
470,816,225,10808,0.85095,0.85095
471,837,786,3605,0.6035,0.6035
472,743,554,13711,0.2044,0.2044
473,549,448,8473,0.68151,0.68151
474,720,444,13766,0.1988,0.1988
475,806,532,11968,0.22268,0.22268
476,47,343,2611,0.38861,0.38861
477,682,882,2069,0.68691,0.68691
478,825,990,14146,0.41972,0.41972
479,528,958,9259,0.54442,0.54442
480,298,361,8394,0.79906,0.79906
481,154,112,1398,0.11147,0.11147
482,697,955,3925,0.96269,0.96269
483,298,523,9187,0.24315,0.24315
484,394,161,19840,0.56649,0.56649
485,56,583,18263,0.46228,0.46228
486,884,913,562,0.50769,0.50769
487,657,565,15390,0.69504,0.69504
488,153,980,6194,0.59478,0.59478
489,472,821,8627,0.3452,0.3452
490,753,508,2099,0.58564,0.58564
491,972,633,19587,0.73653,0.73653
492,967,84,8193,0.82157,0.82157
493,246,622,19455,0.7644,0.7644
494,397,939,9123,0.23358,0.23358
495,891,662,18959,0.7274,0.7274
496,58,847,7219,0.4892,0.4892
497,400,153,14821,0.73771,0.73771
498,393,627,6642,0.35125,0.35125
499,346,743,606,0.59323,0.59323
500,459,413,10481,0.42629,0.42629
501,941,187,18449,0.49162,0.49162
502,254,341,12565,0.63341,0.63341
503,233,282,11840,0.5967,0.5967
504,830,822,17247,0.23396,0.23396
505,642,878,842,0.64864,0.64864
506,394,473,5623,0.05075,0.05075
507,428,175,9156,0.37286,0.37286
508,826,171,5326,0.7509,0.7509
509,616,178,16975,0.73257,0.73257
510,439,390,11601,0.85096,0.85096
511,711,404,17796,0.88324,0.88324
512,691,840,7424,0.65246,0.65246
513,664,443,1158,0.50695,0.50695
514,455,516,12793,0.95011,0.95011
515,304,412,1432,0.4095,0.4095
516,241,630,1500,0.5521,0.5521
517,521,177,17467,0.62639,0.62639
518,573,379,11814,0.43478,0.43478
519,431,692,862,0.865,0.865
520,13,20,8278,0.92974,0.92974
521,389,347,11047,0.64207,0.64207
522,242,195,6054,0.23552,0.23552
523,477,662,2963,0.23533,0.23533
524,433,25,18367,0.24527,0.24527
525,16,260,13889,0.06603,0.06603
526,739,958,9025,0.64062,0.64062
527,701,793,701,0.89208,0.89208
528,65,279,12637,0.18358,0.18358
529,478,982,7535,0.54448,0.54448
530,786,165,18617,0.45336,0.45336
531,146,144,19046,0.44142,0.44142
532,36,588,2314,0.39505,0.39505
533,527,199,6992,0.56158,0.56158
534,291,926,1831,0.22195,0.22195
535,303,219,218,0.53631,0.53631
536,932,285,4730,0.42331,0.42331
537,431,605,192,0.19053,0.19053
538,201,461,12843,0.5454,0.5454
539,943,369,7432,0.86664,0.86664
540,181,930,6540,0.24093,0.24093
541,534,292,4303,0.28636,0.28636
542,252,784,1348,0.32387,0.32387
543,693,823,2170,0.59729,0.59729
544,453,765,13834,0.57093,0.57093
545,563,842,7097,0.27948,0.27948
546,769,920,8758,0.78602,0.78602
547,816,6,70,0.04562,0.04562
548,588,797,8733,0.11362,0.11362
549,902,794,8990,0.48483,0.48483
550,891,559,19734,0.83738,0.83738
551,588,44,6854,0.51964,0.51964
552,359,766,3995,0.28223,0.28223
553,784,787,3482,0.13845,0.13845
554,393,453,9429,0.48609,0.48609
555,847,57,4700,0.31904,0.31904
556,127,256,2147,0.43755,0.43755
557,909,991,1868,0.62255,0.62255
558,696,393,2491,0.1293,0.1293
559,281,539,14275,0.70539,0.70539
560,864,41,11297,0.29347,0.29347
561,642,366,13471,0.35227,0.35227
562,842,632,3430,0.89317,0.89317
563,249,690,14882,0.41394,0.41394
564,170,143,4809,0.8601,0.8601
565,356,11,5383,0.52355,0.52355
566,107,386,14650,0.49835,0.49835
567,114,804,9870,0.18388,0.18388
568,697,804,17253,0.45418,0.45418
569,430,399,2408,0.29025,0.29025
570,533,343,8210,0.50438,0.50438
571,717,17,7231,0.60614,0.60614
572,585,272,15857,0.44084,0.44084
573,80,397,19806,0.44086,0.44086
574,761,718,11013,0.20536,0.20536
575,939,391,1755,0.68702,0.68702
576,460,20,6380,0.31995,0.31995
577,196,504,12288,0.31579,0.31579
578,825,250,2532,0.48472,0.48472
579,149,824,17484,0.39733,0.39733
580,40,792,13234,0.3927,0.3927
581,321,373,8350,0.28698,0.28698
582,422,411,7625,0.47386,0.47386
583,289,5,1995,0.505,0.505
584,570,919,11607,0.61444,0.61444
585,478,1,5011,0.51865,0.51865
586,329,485,10415,0.63849,0.63849
587,550,563,9578,0.1761,0.1761
588,330,322,4734,0.34081,0.34081
589,79,986,16924,0.47869,0.47869
590,364,499,14359,0.57191,0.57191
